Model,Accuracy,Precision,Recall,F1 Score
Linear SVM,0.9684094139946297,0.9638157894736842,0.9668287599861063,0.9653199237038321
SGD Classifier,0.9658031906491865,0.9564546545516887,0.9689128169503299,0.9626434302476059
Logistic Regression,0.9569578265676828,0.9490094745908699,0.9567558179923584,0.9528669030528409
Multinomial Naive Bayes,0.891723266466593,0.8766958612399107,0.8865925668634943,0.8816164407218721
